# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
8244                    	1.4147312049243757e-02	3.5849214542557168e-03	1.0562390594988041e-02	6.9774691920541776e-01	2.5891138080278459e-01	4.3883553840263323e-01	-8.9962078799924322e-02	-3.4887345703661617e-03	7.0736633972846817e-05	-7.7508043171408225e-10	7.0736246432630956e-05	-7.0737021513062677e-05
8245                    	1.4150454182105882e-02	3.5864055371516530e-03	1.0564048644954230e-02	6.9776431591188126e-01	2.5890789608639775e-01	4.3885641982548357e-01	-8.9974261869542937e-02	-3.4888215539012881e-03	7.0752344567835123e-05	-7.7517953250234748e-10	7.0751956978068865e-05	-7.0752732157601381e-05
8246                    	1.4147152709271613e-02	3.5848414129462623e-03	1.0562311296325349e-02	6.9774699347020219e-01	2.5891295142573373e-01	4.3883404204446846e-01	-8.9960545309367396e-02	-3.4887349416895439e-03	7.0735837272398256e-05	-7.7509237665326872e-10	7.0735449726209933e-05	-7.0736224818586580e-05
8247                    	1.4150135532511399e-02	3.5862461657722410e-03	1.0563889366739160e-02	6.9776432522841880e-01	2.5890937255624769e-01	4.3885495267217117e-01	-8.9972790057961743e-02	-3.4888216004834586e-03	7.0750751319237414e-05	-7.7519151285218275e-10	7.0750363723480979e-05	-7.0751138914993834e-05
8248                    	1.4147306452041389e-02	3.5849031541848758e-03	1.0562403297856512e-02	6.9775001949955984e-01	2.5891363404395573e-01	4.3883638545560416e-01	-8.9961375705824242e-02	-3.4887500718358186e-03	7.0736605985699183e-05	-7.7510423702809858e-10	7.0736218433580666e-05	-7.0736993537817700e-05
8249                    	1.4150338379067588e-02	3.5863290237758529e-03	1.0564009355291734e-02	6.9776803828341860e-01	2.5890990423882859e-01	4.3885813404459006e-01	-8.9974114902880709e-02	-3.4888401657579408e-03	7.0751765551443501e-05	-7.7520339516425129e-10	7.0751377949745909e-05	-7.0752153153141078e-05
8250                    	1.4146783001301164e-02	3.5846373505850834e-03	1.0562145650716080e-02	6.9775083514560121e-01	2.5891479185341093e-01	4.3883604329219023e-01	-8.9960625719389634e-02	-3.4887541500654984e-03	7.0733988731385436e-05	-7.7511615322013577e-10	7.0733601173308836e-05	-7.0734376289462050e-05
8251                    	1.4149897629830575e-02	3.5861078710357494e-03	1.0563789758794826e-02	6.9776819390784384e-01	2.5891131667814576e-01	4.3885687722969813e-01	-8.9972780275776182e-02	-3.4888409438795379e-03	7.0749561804690601e-05	-7.7521523069994554e-10	7.0749174197075259e-05	-7.0749949412305958e-05
8252                    	1.4147036315982816e-02	3.5847528561774129e-03	1.0562283459805404e-02	6.9775306549540428e-01	2.5891580090035682e-01	4.3883726459504746e-01	-8.9960731847345321e-02	-3.4887653018139952e-03	7.0735255304212890e-05	-7.7512798608531329e-10	7.0734867740219839e-05	-7.0735642868205927e-05
8253                    	1.4150133019557230e-02	3.5862122481048904e-03	1.0563920771452339e-02	6.9777085746678613e-01	2.5891215049499866e-01	4.3885870697178753e-01	-8.9973278238394405e-02	-3.4888542616737244e-03	7.0750738752679905e-05	-7.7522713004931719e-10	7.0750351139114867e-05	-7.0751126366244929e-05
